Accident_Index,Location_Easting_OSGR ,Location_Northing_OSGR,Longitude,Latitude,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date
ACCID1,460830,452510,-1.074261,53.965099,3,1,1,10/01/2008
ACCID2,460220,446720,-1.084698,53.913137,3,1,1,01/01/2009
ACCID3,461460,448010,-1.065564,53.924585,3,1,1,03/01/2009
ACCID4,465130,451620,-1.008917,53.956579,2,2,1,04/01/2009
ACCID5,460850,452490,-1.07396,53.964917,3,2,1,05/01/2009
ACCID6,459310,450910,-1.097738,53.950897,2,2,2,06/01/2009
ACCID7,462620,451500,-1.047187,53.95581,3,1,1,05/01/2009
ACCID8,462720,451280,-1.045709,53.95382,3,3,2,06/01/2009
ACCID9,458810,455100,-1.104549,53.988608,3,2,3,07/01/2009
ACCID10,461750,449810,-1.060785,53.940726,3,2,1,07/01/2009
ACCID11,461210,454190,-1.068133,53.980152,3,2,1,08/01/2009
ACCID12,458910,452780,-1.103472,53.967748,2,2,1,09/01/2009
ACCID13,462070,457310,-1.054386,54.008088,3,1,1,09/01/2009
ACCID14,459120,447850,-1.101224,53.923419,3,2,1,10/01/2009
ACCID15,462010,456930,-1.055379,54.00468,3,2,1,10/01/2009
ACCID16,460520,451820,-1.079123,53.958935,3,2,1,12/01/2009
ACCID17,466310,457930,-0.989565,54.013134,3,3,1,12/01/2009
ACCID18,464790,455280,-1.013321,53.989512,3,2,1,13/01/2009
ACCID19,459420,455200,-1.095227,53.989437,3,2,1,13/01/2009
ACCID20,460430,452800,-1.0803,53.967752,3,2,1,13/01/2009
ACCID21,458840,449930,-1.105087,53.942143,3,2,1,13/01/2009
ACCID22,456940,452990,-1.133459,53.969855,3,2,4,14/01/2009
ACCID23,464070,455330,-1.02429,53.990051,3,2,1,14/01/2009
ACCID24,460710,453660,-1.075862,53.975448,3,2,1,16/01/2009
ACCID25,461480,447990,-1.065263,53.924403,3,2,1,18/01/2009
ACCID26,457360,452640,-1.127123,53.966664,3,2,1,19/01/2009
